filename.variablename	condition 	variable type	subtype 
BXD_EEGref.out.refn	bsl	EEG	power
BXD_EEGref.out.refr	bsl	EEG	power
BXD_EEGref.out.n.w	bsl	EEG	power
BXD_EEGref.out.r.w	bsl	EEG	power
BXD_EEGref.out.n.r	bsl	EEG	power
BXD_TPF.P.out.powTHE	bsl	EEG	power
BXD_TPF.P.out.powDIP	bsl	EEG	power
BXD_TPF.P.out.relTHEDIP	bsl	EEG	power
BXD_TPF.P.out.powFD_ps	bsl	EEG	power
BXD_TPF.P.out.relFD_ps	bsl	EEG	power
BXD_TPF.P.out.relTP_FD	bsl	EEG	power
BXD_TPF.P.out.powFD_sws	bsl	EEG	power
BXD_TPF.P.out.freqTHE	bsl	EEG	frequency
BXD_TPF.P.out.freqDIP	bsl	EEG	frequency
BXD_TPF.P.out.present1	bsl	EEG	frequency
BXD_TPF.P.out.freqFD_ps	bsl	EEG	frequency
BXD_TPF.P.out.present2	bsl	EEG	frequency
BXD_TPF.P.out.freqFD_sws	bsl	EEG	frequency
BXD_NREMS_EEG_bands.out.delta	bsl	EEG	power
BXD_NREMS_EEG_bands.out.delta.	bsl	EEG	power
BXD_NREMS_EEG_bands.out.del_slow.	bsl	EEG	power
BXD_NREMS_EEG_bands.out.del_fast.	bsl	EEG	power
BXD_NREMS_EEG_bands.out.fast.slow	bsl	EEG	power
BXD_NREMS_EEG_bands.out.theta	bsl	EEG	power
BXD_NREMS_EEG_bands.out.theta.	bsl	EEG	power
BXD_NREMS_EEG_bands.out.sigma	bsl	EEG	power
BXD_NREMS_EEG_bands.out.sigma.	bsl	EEG	power
BXD_NREMS_EEG_bands.out.beta	bsl	EEG	power
BXD_NREMS_EEG_bands.out.beta.	bsl	EEG	power
BXD_NREMS_EEG_bands.out.gamma1	bsl	EEG	power
BXD_NREMS_EEG_bands.out.gamma1.	bsl	EEG	power
BXD_NREMS_EEG_bands.out.gamma2	bsl	EEG	power
BXD_NREMS_EEG_bands.out.gamma2.	bsl	EEG	power
BXD_NREMS_EEG_bands.out.del50.Hz	bsl	EEG	frequency
BXD_Wak_EEG_bands.out.delta	bsl	EEG	power
BXD_Wak_EEG_bands.out.delta.	bsl	EEG	power
BXD_Wak_EEG_bands.out.theta	bsl	EEG	power
BXD_Wak_EEG_bands.out.theta.	bsl	EEG	power
BXD_Wak_EEG_bands.out.sigma	bsl	EEG	power
