Scan motifs
>> output location: results/12-BXD_footprints/motifs

>> genome: mm10
>> pseudocounts: 1.0
>> fpr threshold: 0.0001

>> loading input files..
>> matching [BXD100_CTRL_sub2], 50212 regions... [13.084 seconds]
>> matching [BXD81_SD_sub2], 52308 regions... [13.620 seconds]
>> matching [BXD89_CTRL_sub2], 50085 regions... [12.960 seconds]
>> matching [BXD67_CTRL_sub2], 49237 regions... [12.743 seconds]
>> matching [BXD79_CTRL_sub2], 47971 regions... [12.433 seconds]
>> matching [BXD66_SD_sub2], 54108 regions... [14.018 seconds]
>> matching [BXD95_SD_sub2], 52599 regions... [13.683 seconds]
>> matching [DBA_CTRL_sub2], 45861 regions... [11.885 seconds]
>> matching [73b_CTRL_sub2], 50218 regions... [13.067 seconds]
>> matching [BXD84_SD_sub2], 51780 regions... [13.422 seconds]
>> matching [BXD65_CTRL_sub2], 48051 regions... [12.503 seconds]
>> matching [BXD79_SD_sub2], 50295 regions... [13.075 seconds]
>> matching [BXD75_CTRL_sub2], 48990 regions... [12.732 seconds]
>> matching [BXD89_SD_sub2], 51550 regions... [13.411 seconds]
>> matching [65a_SD_sub2], 48125 regions... [12.456 seconds]
>> matching [BXD71_SD_sub2], 50608 regions... [13.059 seconds]
>> matching [BXD90_SD_sub2], 50945 regions... [13.236 seconds]
>> matching [BXD71_CTRL_sub2], 49564 regions... [12.768 seconds]
>> matching [BXD49_SD_sub2], 51524 regions... [14.089 seconds]
>> matching [BXD65_SD_sub2], 51401 regions... [13.324 seconds]
>> matching [BXD64_CTRL_sub2], 45453 regions... [11.760 seconds]
>> matching [BXD90_CTRL_sub2], 49790 regions... [12.893 seconds]
>> matching [73b_SD_sub2], 49435 regions... [12.908 seconds]
>> matching [BXD67_SD_sub2], 53087 regions... [14.015 seconds]
>> matching [48a_CTRL_sub2], 45015 regions... [11.869 seconds]
>> matching [BXD70_SD_sub2], 51092 regions... [13.388 seconds]
>> matching [BXD55_CTRL_sub2], 46773 regions... [11.978 seconds]
>> matching [BXD83_SD_sub2], 50293 regions... [12.923 seconds]
>> matching [BXD49_CTRL_sub2], 48001 regions... [12.192 seconds]
>> matching [BXD85_SD_sub2], 49609 regions... [12.657 seconds]
>> matching [BXD43_SD_sub2], 51011 regions... [12.976 seconds]
>> matching [C57Bl6_CTRL_sub2], 45136 regions... [11.458 seconds]
>> matching [BXD51_CTRL_sub2], 48607 regions... [12.806 seconds]
>> matching [BXD50_CTRL_sub2], 45543 regions... [11.940 seconds]
>> matching [BXD81_CTRL_sub2], 49885 regions... [13.236 seconds]
>> matching [BXD85_CTRL_sub2], 45875 regions... [12.075 seconds]
>> matching [BXD48_SD_sub2], 48739 regions... [12.827 seconds]
>> matching [BXD83_CTRL_sub2], 44375 regions... [11.429 seconds]
>> matching [BXD45_CTRL_sub2], 45673 regions... [11.746 seconds]
>> matching [BXD56_SD_sub2], 53622 regions... [13.906 seconds]
>> matching [BXD70_CTRL_sub2], 49911 regions... [12.818 seconds]
>> matching [BXD73_SD_sub2], 48954 regions... [12.541 seconds]
>> matching [BXD101_SD_sub2], 50361 regions... [13.076 seconds]
>> matching [BXD66_CTRL_sub2], 48977 regions... [12.696 seconds]
>> matching [BXD43_CTRL_sub2], 47522 regions... [12.473 seconds]
>> matching [BXD95_CTRL_sub2], 49980 regions... [13.292 seconds]
>> matching [BXD61_SD_sub2], 52190 regions... [13.414 seconds]
>> matching [BXD100_SD_sub2], 51241 regions... [13.172 seconds]
>> matching [BXD45_SD_sub2], 47524 regions... [12.219 seconds]
>> matching [BXD44_SD_sub2], 47207 regions... [12.332 seconds]
>> matching [BXD50_SD_sub2], 50397 regions... [13.219 seconds]
>> matching [BXD55_SD_sub2], 51523 regions... [13.311 seconds]
>> matching [BXD56_CTRL_sub2], 48119 regions... [12.590 seconds]
>> matching [BXD44_CTRL_sub2], 45684 regions... [11.867 seconds]
>> matching [65a_CTRL_sub2], 49598 regions... [12.863 seconds]
>> matching [BXD98_CTRL_sub2], 42847 regions... [10.972 seconds]
>> matching [BXD98_SD_sub2], 47967 regions... [12.454 seconds]
>> matching [BXD84_CTRL_sub2], 47387 regions... [12.363 seconds]
>> matching [BXD61_CTRL_sub2], 47930 regions... [12.726 seconds]

[total time: 0h 50m 21s]
Logs saved in <logs/12-BXD_footprints/motifs.log>
