"","Strain","Mice_ID","Delivery_Date","Shipment","Birth_date","Experiment_date","3_Weeks_lag","Age_min_sd","Age_max_sd","Age","Treatment","Sample","Group"
"2-BXD81-60","BXD81","2-BXD81-60","12.12.2019",2,"15.10.2019","lundi, 20 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13.85714286,"CTRL","060","BXD81_CTRL"
"2-BXD90-61","BXD90","2-BXD90-61","12.12.2019",2,"08.10.2019","mardi, 7 janvier 2020","02.01.2020","31.12.2019","20.01.2020",13,"SD","061","BXD90_SD"
"2-BXD90-62","BXD90","2-BXD90-62","12.12.2019",2,"08.10.2019","lundi, 6 janvier 2020","02.01.2020","31.12.2019","20.01.2020",12.85714286,"CTRL","062","BXD90_CTRL"
"2-BXD95-63","BXD95","2-BXD95-63","12.12.2019",2,"29.10.2019","mardi, 28 janvier 2020","02.01.2020","21.01.2020","10.02.2020",13,"SD","063","BXD95_SD"
"2-BXD95-64","BXD95","2-BXD95-64","12.12.2019",2,"29.10.2019","lundi, 27 janvier 2020","02.01.2020","21.01.2020","10.02.2020",12.85714286,"CTRL","064","BXD95_CTRL"
"2-BXD48a-65","48a","2-BXD48a-65","12.12.2019",2,"01.10.2019","mardi, 7 janvier 2020","02.01.2020","24.12.2019","13.01.2020",14,"SD","065","48a_SD"
"2-BXD48a-66","48a","2-BXD48a-66","12.12.2019",2,"01.10.2019","lundi, 6 janvier 2020","02.01.2020","24.12.2019","13.01.2020",13.85714286,"CTRL","066","48a_CTRL"
"2-BXD73b-67","73b","2-BXD73b-67","12.12.2019",2,"15.10.2019","mardi, 21 janvier 2020","02.01.2020","07.01.2020","27.01.2020",14,"SD","067","73b_SD"
"2-BXD73b-68","73b","2-BXD73b-68","12.12.2019",2,"15.10.2019","lundi, 20 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13.85714286,"CTRL","068","73b_CTRL"
"2-C57Bl6-69","C57Bl6","2-C57Bl6-69","12.12.2019",2,"15.10.2019","mardi, 21 janvier 2020","02.01.2020","07.01.2020","27.01.2020",14,"SD","069","C57Bl6_SD"
"2-C57Bl6-70","C57Bl6","2-C57Bl6-70","12.12.2019",2,"15.10.2019","lundi, 20 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13.85714286,"CTRL","070","C57Bl6_CTRL"
"2-DBA-71","DBA","2-DBA-71","12.12.2019",2,"15.10.2019","mardi, 21 janvier 2020","02.01.2020","07.01.2020","27.01.2020",14,"SD","071","DBA_SD"
"2-DBA-72","DBA","2-DBA-72","12.12.2019",2,"15.10.2019","lundi, 20 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13.85714286,"CTRL","072","DBA_CTRL"
"2-BXD85-73","BXD85","2-BXD85-73","12.12.2019",2,"29.10.2019","mardi, 21 janvier 2020","02.01.2020","21.01.2020","10.02.2020",12,"SD","073","BXD85_SD"
"2-BXD85-74","BXD85","2-BXD85-74","12.12.2019",2,"29.10.2019","lundi, 20 janvier 2020","02.01.2020","21.01.2020","10.02.2020",11.85714286,"CTRL","074","BXD85_CTRL"
"3-BXD43-75","BXD43","3-BXD43-75","09.01.2020",3,"01.11.2019","lundi, 3 février 2020","30.01.2020","24.01.2020","13.02.2020",13.42857143,"CTRL","075","BXD43_CTRL"
"3-BXD43-76","BXD43","3-BXD43-76","09.01.2020",3,"01.11.2019","mardi, 4 février 2020","30.01.2020","24.01.2020","13.02.2020",13.57142857,"SD","076","BXD43_SD"
"3-BXD45-77","BXD45","3-BXD45-77","09.01.2020",3,"19.11.2019","lundi, 17 février 2020","30.01.2020","11.02.2020","02.03.2020",12.85714286,"CTRL","077","BXD45_CTRL"
"3-BXD45-78","BXD45","3-BXD45-78","09.01.2020",3,"19.11.2019","mardi, 18 février 2020","30.01.2020","11.02.2020","02.03.2020",13,"SD","078","BXD45_SD"
"3-BXD49-79","BXD49","3-BXD49-79","09.01.2020",3,"05.11.2019","lundi, 3 février 2020","30.01.2020","28.01.2020","17.02.2020",12.85714286,"CTRL","079","BXD49_CTRL"
"3-BXD49-80","BXD49","3-BXD49-80","09.01.2020",3,"05.11.2019","mardi, 4 février 2020","30.01.2020","28.01.2020","17.02.2020",13,"SD","080","BXD49_SD"
"3-BXD55-81","BXD55","3-BXD55-81","09.01.2020",3,"29.10.2019","lundi, 3 février 2020","30.01.2020","21.01.2020","10.02.2020",13.85714286,"CTRL","081","BXD55_CTRL"
"3-BXD55-82","BXD55","3-BXD55-82","09.01.2020",3,"29.10.2019","mardi, 4 février 2020","30.01.2020","21.01.2020","10.02.2020",14,"SD","082","BXD55_SD"
"3-BXD56-83","BXD56","3-BXD56-83","09.01.2020",3,"05.11.2019","lundi, 3 février 2020","30.01.2020","28.01.2020","17.02.2020",12.85714286,"CTRL","083","BXD56_CTRL"
"3-BXD56-84","BXD56","3-BXD56-84","09.01.2020",3,"05.11.2019","mardi, 4 février 2020","30.01.2020","28.01.2020","17.02.2020",13,"SD","084","BXD56_SD"
"3-BXD61-85","BXD61","3-BXD61-85","09.01.2020",3,"19.11.2019","lundi, 17 février 2020","30.01.2020","11.02.2020","02.03.2020",12.85714286,"CTRL","085","BXD61_CTRL"
"3-BXD61-86","BXD61","3-BXD61-86","09.01.2020",3,"19.11.2019","mardi, 18 février 2020","30.01.2020","11.02.2020","02.03.2020",13,"SD","086","BXD61_SD"
"3-BXD66-87","BXD66","3-BXD66-87","09.01.2020",3,"05.11.2019","lundi, 3 février 2020","30.01.2020","28.01.2020","17.02.2020",12.85714286,"CTRL","087","BXD66_CTRL"
"3-BXD66-88","BXD66","3-BXD66-88","09.01.2020",3,"05.11.2019","mardi, 4 février 2020","30.01.2020","28.01.2020","17.02.2020",13,"SD","088","BXD66_SD"
"3-BXD67-89","BXD67","3-BXD67-89","09.01.2020",3,"19.11.2019","lundi, 17 février 2020","30.01.2020","11.02.2020","02.03.2020",12.85714286,"CTRL","089","BXD67_CTRL"
"3-BXD67-90","BXD67","3-BXD67-90","09.01.2020",3,"19.11.2019","mardi, 18 février 2020","30.01.2020","11.02.2020","02.03.2020",13,"SD","090","BXD67_SD"
"3-BXD70-91","BXD70","3-BXD70-91","09.01.2020",3,"19.11.2019","lundi, 17 février 2020","30.01.2020","11.02.2020","02.03.2020",12.85714286,"CTRL","091","BXD70_CTRL"
"3-BXD70-92","BXD70","3-BXD70-92","09.01.2020",3,"19.11.2019","mardi, 18 février 2020","30.01.2020","11.02.2020","02.03.2020",13,"SD","092","BXD70_SD"
"3-BXD73-93","BXD73","3-BXD73-93","09.01.2020",3,"05.11.2019","lundi, 3 février 2020","30.01.2020","28.01.2020","17.02.2020",12.85714286,"CTRL","093","BXD73_CTRL"
"3-BXD73-94","BXD73","3-BXD73-94","09.01.2020",3,"05.11.2019","mardi, 4 février 2020","30.01.2020","28.01.2020","17.02.2020",13,"SD","094","BXD73_SD"
"3-BXD75-95","BXD75","3-BXD75-95","09.01.2020",3,"05.11.2019","lundi, 10 février 2020","30.01.2020","28.01.2020","17.02.2020",13.85714286,"CTRL","095","BXD75_CTRL"
"3-BXD75-96","BXD75","3-BXD75-96","09.01.2020",3,"05.11.2019","mardi, 11 février 2020","30.01.2020","28.01.2020","17.02.2020",14,"SD","096","BXD75_SD"
"3-BXD79-97","BXD79","3-BXD79-97","09.01.2020",3,"29.10.2019","lundi, 3 février 2020","30.01.2020","21.01.2020","10.02.2020",13.85714286,"CTRL","097","BXD79_CTRL"
"3-BXD79-98","BXD79","3-BXD79-98","09.01.2020",3,"29.10.2019","mardi, 4 février 2020","30.01.2020","21.01.2020","10.02.2020",14,"SD","098","BXD79_SD"
"3-BXD83-99","BXD83","3-BXD83-99","09.01.2020",3,"05.11.2019","lundi, 10 février 2020","30.01.2020","28.01.2020","17.02.2020",13.85714286,"CTRL","099","BXD83_CTRL"
"3-BXD83-100","BXD83","3-BXD83-100","09.01.2020",3,"05.11.2019","mardi, 11 février 2020","30.01.2020","28.01.2020","17.02.2020",14,"SD","100","BXD83_SD"
"3-BXD84-101","BXD84","3-BXD84-101","09.01.2020",3,"05.11.2019","lundi, 10 février 2020","30.01.2020","28.01.2020","17.02.2020",13.85714286,"CTRL","101","BXD84_CTRL"
"3-BXD84-102","BXD84","3-BXD84-102","09.01.2020",3,"05.11.2019","mardi, 11 février 2020","30.01.2020","28.01.2020","17.02.2020",14,"SD","102","BXD84_SD"
"3-BXD90-103","BXD90","3-BXD90-103","09.01.2020",3,"12.11.2019","lundi, 10 février 2020","30.01.2020","04.02.2020","24.02.2020",12.85714286,"CTRL","103","BXD90_CTRL"
"3-BXD90-104","BXD90","3-BXD90-104","09.01.2020",3,"12.11.2019","mardi, 11 février 2020","30.01.2020","04.02.2020","24.02.2020",13,"SD","104","BXD90_SD"
"3-BXD48a-105","48a","3-BXD48a-105","09.01.2020",3,"29.10.2019","lundi, 3 février 2020","30.01.2020","21.01.2020","10.02.2020",13.85714286,"CTRL","105","48a_CTRL"
